Year,NATURE,SOURCE_DETAIL,SDG Series,Sex,Degree of urbanisation,Income or wealth quantile,Education level,Composite breakdown,Source details,COMMENT_OBS,Observation-level footnotes,Value
2011,C,Senegal DHS 2010-11. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 3,Primary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,1.04042
2015,C,Senegal DHS 2015. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 3,Primary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,1.11039
2016,C,Senegal DHS 2015-16. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 3,Primary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,1.1401
2017,C,Senegal DHS 2017. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 3,Primary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,1.04967
2018,C,Senegal DHS 2018. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 3,Primary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,1.1288
2019,C,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 3,Primary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,1.1275
2005,C,Senegal DHS 2005. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 3,Lower secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.26263
2011,C,Senegal DHS 2010-11. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 3,Lower secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.54096
2015,C,Senegal DHS 2015. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 3,Lower secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.78302
2016,C,Senegal DHS 2015-16. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 3,Lower secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.76899
2017,C,Senegal DHS 2017. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 3,Lower secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.73413
2018,C,Senegal DHS 2018. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 3,Lower secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.93128
2019,C,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 3,Lower secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.99475
2005,C,Senegal DHS 2005. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 3,Upper secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.07624
2011,C,Senegal DHS 2010-11. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 3,Upper secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.31656
2015,C,Senegal DHS 2015. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 3,Upper secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.40085
2016,C,Senegal DHS 2015-16. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 3,Upper secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,1.03475
2017,C,Senegal DHS 2017. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 3,Upper secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.32098
2018,C,Senegal DHS 2018. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 3,Upper secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,1.17032
2019,C,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 3,Upper secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.50651
2005,C,Senegal DHS 2005. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 4,Primary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.79908
